symbol,yf_ticker,source,source_version
POLICYBZR,POLICYBZR.NS,nse-archives,2
PCBL,PCBL.NS,nse-archives,2
PGEL,PGEL.NS,nse-archives,2
PIIND,PIIND.NS,nse-archives,2
PNBHOUSING,PNBHOUSING.NS,nse-archives,2
PTCIL,PTCIL.NS,nse-archives,2
PVRINOX,PVRINOX.NS,nse-archives,2
PAGEIND,PAGEIND.NS,nse-archives,2
PARADEEP,PARADEEP.NS,nse-archives,2
PATANJALI,PATANJALI.NS,nse-archives,2
PERSISTENT,PERSISTENT.NS,nse-archives,2
PETRONET,PETRONET.NS,nse-archives,2
PFIZER,PFIZER.NS,nse-archives,2
PHOENIXLTD,PHOENIXLTD.NS,nse-archives,2
PWL,PWL.NS,nse-archives,2
PIDILITIND,PIDILITIND.NS,nse-archives,2
PINELABS,PINELABS.NS,nse-archives,2
PIRAMALFIN,PIRAMALFIN.NS,nse-archives,2
PPLPHARMA,PPLPHARMA.NS,nse-archives,2
POLYMED,POLYMED.NS,nse-archives,2
POLYCAB,POLYCAB.NS,nse-archives,2
POONAWALLA,POONAWALLA.NS,nse-archives,2
PFC,PFC.NS,nse-archives,2
POWERGRID,POWERGRID.NS,nse-archives,2
PREMIERENE,PREMIERENE.NS,nse-archives,2
PRESTIGE,PRESTIGE.NS,nse-archives,2
PFOCUS,PFOCUS.NS,nse-archives,2
PNB,PNB.NS,nse-archives,2
RRKABEL,RRKABEL.NS,nse-archives,2
RBLBANK,RBLBANK.NS,nse-archives,2
RECLTD,RECLTD.NS,nse-archives,2
RHIM,RHIM.NS,nse-archives,2
RITES,RITES.NS,nse-archives,2
RADICO,RADICO.NS,nse-archives,2
RVNL,RVNL.NS,nse-archives,2
RAILTEL,RAILTEL.NS,nse-archives,2
RAINBOW,RAINBOW.NS,nse-archives,2
RKFORGE,RKFORGE.NS,nse-archives,2
REDINGTON,REDINGTON.NS,nse-archives,2
RELIANCE,RELIANCE.NS,nse-archives,2
RPOWER,RPOWER.NS,nse-archives,2
SBFC,SBFC.NS,nse-archives,2
SBICARD,SBICARD.NS,nse-archives,2
SBILIFE,SBILIFE.NS,nse-archives,2
SJVN,SJVN.NS,nse-archives,2
SRF,SRF.NS,nse-archives,2
SAGILITY,SAGILITY.NS,nse-archives,2
SAILIFE,SAILIFE.NS,nse-archives,2
SAMMAANCAP,SAMMAANCAP.NS,nse-archives,2
MOTHERSON,MOTHERSON.NS,nse-archives,2
SAPPHIRE,SAPPHIRE.NS,nse-archives,2
SARDAEN,SARDAEN.NS,nse-archives,2
SAREGAMA,SAREGAMA.NS,nse-archives,2
SCHAEFFLER,SCHAEFFLER.NS,nse-archives,2
SCHNEIDER,SCHNEIDER.NS,nse-archives,2
SCI,SCI.NS,nse-archives,2
SHREECEM,SHREECEM.NS,nse-archives,2
SHRIRAMFIN,SHRIRAMFIN.NS,nse-archives,2
SHYAMMETL,SHYAMMETL.NS,nse-archives,2
ENRIN,ENRIN.NS,nse-archives,2
SIEMENS,SIEMENS.NS,nse-archives,2
SIGNATURE,SIGNATURE.NS,nse-archives,2
SOBHA,SOBHA.NS,nse-archives,2
SOLARINDS,SOLARINDS.NS,nse-archives,2
SONACOMS,SONACOMS.NS,nse-archives,2
SONATSOFTW,SONATSOFTW.NS,nse-archives,2
STARHEALTH,STARHEALTH.NS,nse-archives,2
SBIN,SBIN.NS,nse-archives,2
SAIL,SAIL.NS,nse-archives,2
SUMICHEM,SUMICHEM.NS,nse-archives,2
SUNPHARMA,SUNPHARMA.NS,nse-archives,2
SUNTV,SUNTV.NS,nse-archives,2
SUNDARMFIN,SUNDARMFIN.NS,nse-archives,2
SUPREMEIND,SUPREMEIND.NS,nse-archives,2
SPLPETRO,SPLPETRO.NS,nse-archives,2
SUZLON,SUZLON.NS,nse-archives,2
SWANCORP,SWANCORP.NS,nse-archives,2
SWIGGY,SWIGGY.NS,nse-archives,2
SYNGENE,SYNGENE.NS,nse-archives,2
SYRMA,SYRMA.NS,nse-archives,2
TBOTEK,TBOTEK.NS,nse-archives,2
TVSMOTOR,TVSMOTOR.NS,nse-archives,2
TATACAP,TATACAP.NS,nse-archives,2
TATACHEM,TATACHEM.NS,nse-archives,2
TATACOMM,TATACOMM.NS,nse-archives,2
TCS,TCS.NS,nse-archives,2
TATACONSUM,TATACONSUM.NS,nse-archives,2
TATAELXSI,TATAELXSI.NS,nse-archives,2
TATAINVEST,TATAINVEST.NS,nse-archives,2
TMCV,TMCV.NS,nse-archives,2
TMPV,TMPV.NS,nse-archives,2
TATAPOWER,TATAPOWER.NS,nse-archives,2
TATASTEEL,TATASTEEL.NS,nse-archives,2
TATATECH,TATATECH.NS,nse-archives,2
TTML,TTML.NS,nse-archives,2
TECHM,TECHM.NS,nse-archives,2
TECHNOE,TECHNOE.NS,nse-archives,2
TEGA,TEGA.NS,nse-archives,2
TEJASNET,TEJASNET.NS,nse-archives,2
TENNIND,TENNIND.NS,nse-archives,2
NIACL,NIACL.NS,nse-archives,2
RAMCOCEM,RAMCOCEM.NS,nse-archives,2
THERMAX,THERMAX.NS,nse-archives,2
TIMKEN,TIMKEN.NS,nse-archives,2
TITAGARH,TITAGARH.NS,nse-archives,2
TITAN,TITAN.NS,nse-archives,2
TORNTPHARM,TORNTPHARM.NS,nse-archives,2
TORNTPOWER,TORNTPOWER.NS,nse-archives,2
TARIL,TARIL.NS,nse-archives,2
TRAVELFOOD,TRAVELFOOD.NS,nse-archives,2
TRENT,TRENT.NS,nse-archives,2
TRIDENT,TRIDENT.NS,nse-archives,2
TRITURBINE,TRITURBINE.NS,nse-archives,2
TIINDIA,TIINDIA.NS,nse-archives,2
UCOBANK,UCOBANK.NS,nse-archives,2
UNOMINDA,UNOMINDA.NS,nse-archives,2
UPL,UPL.NS,nse-archives,2
UTIAMC,UTIAMC.NS,nse-archives,2
ULTRACEMCO,ULTRACEMCO.NS,nse-archives,2
UNIONBANK,UNIONBANK.NS,nse-archives,2
UBL,UBL.NS,nse-archives,2
UNITDSPR,UNITDSPR.NS,nse-archives,2
URBANCO,URBANCO.NS,nse-archives,2
USHAMART,USHAMART.NS,nse-archives,2
VTL,VTL.NS,nse-archives,2
VBL,VBL.NS,nse-archives,2
VEDL,VEDL.NS,nse-archives,2
VIJAYA,VIJAYA.NS,nse-archives,2
VMM,VMM.NS,nse-archives,2
IDEA,IDEA.NS,nse-archives,2
VOLTAS,VOLTAS.NS,nse-archives,2
WAAREEENER,WAAREEENER.NS,nse-archives,2
WELCORP,WELCORP.NS,nse-archives,2
WELSPUNLIV,WELSPUNLIV.NS,nse-archives,2
WHIRLPOOL,WHIRLPOOL.NS,nse-archives,2
WIPRO,WIPRO.NS,nse-archives,2
WOCKPHARMA,WOCKPHARMA.NS,nse-archives,2
YESBANK,YESBANK.NS,nse-archives,2
ZFCVINDIA,ZFCVINDIA.NS,nse-archives,2
ZEEL,ZEEL.NS,nse-archives,2
ZENTEC,ZENTEC.NS,nse-archives,2
ZENSARTECH,ZENSARTECH.NS,nse-archives,2
ZYDUSLIFE,ZYDUSLIFE.NS,nse-archives,2
ZYDUSWELL,ZYDUSWELL.NS,nse-archives,2
ECLERX,ECLERX.NS,nse-archives,2
